170.425	387.075	a
1151.923076923077	670.8461538461538	b
761.8571428571429	633.2857142857143	c
572.3703703703703	409.55555555555554	d
483.875	159.0	e
767.6666666666666	420.7916666666667	f
946.7692307692307	441.84615384615387	g
1164.6666666666667	440.22222222222223	h
1440.4814814814815	176.46296296296296	i
1358.8333333333333	432.27777777777777	j
1556.9473684210527	430.05263157894734	k
1758.7704944444445	400.16208222222224	l
1537.8695652173913	642.4347826086956	m
1339.0	644.04	n
1629.2	187.66666666666666	o
1807.52	199.24	p
95.36363636363636	159.27272727272728	q
671.625	181.875	r
376.6666666666667	386.1666666666667	s
850.2115384615385	191.86489365384614	t
1241.2916666666667	184.33333333333334	u
936.1818181818181	652.5909090909091	v
275.2647058823529	170.38235294117646	w
578.5555555555555	635.2222222222222	x
1051.9347826086957	188.93478260869566	y
367.4	618.6	z
